betas,TaskType,StimType,StimCond(0/1),Cue,Image(s) seen/imagined
0,0.0,0.0,1.0,L,[182]
1,0.0,0.0,1.0,V,[128]
2,0.0,0.0,1.0,H,[14]
3,0.0,0.0,0.0,P,[127]
4,0.0,0.0,0.0,R,[184]
5,0.0,0.0,0.0,P,[71]
6,0.0,0.0,1.0,E,[304]
7,0.0,0.0,0.0,R,[184]
8,0.0,0.0,0.0,L,[254]
9,0.0,0.0,0.0,V,[306]
10,0.0,0.0,1.0,H,[14]
11,0.0,0.0,1.0,P,[255]
12,0.0,0.0,1.0,L,[182]
13,0.0,0.0,0.0,E,[253]
14,0.0,0.0,0.0,L,[15]
15,0.0,0.0,1.0,V,[128]
16,0.0,0.0,1.0,P,[255]
17,0.0,0.0,1.0,R,[72]
18,0.0,0.0,1.0,H,[14]
19,0.0,0.0,0.0,H,[126]
20,0.0,0.0,0.0,V,[256]
21,0.0,0.0,0.0,L,[15]
22,0.0,0.0,1.0,R,[72]
23,0.0,0.0,0.0,V,[306]
24,0.0,0.0,0.0,L,[15]
25,0.0,0.0,1.0,R,[72]
26,0.0,0.0,1.0,E,[304]
27,0.0,0.0,1.0,L,[182]
28,0.0,0.0,0.0,E,[13]
29,0.0,0.0,0.0,P,[183]
30,0.0,0.0,0.0,P,[71]
31,0.0,0.0,1.0,V,[128]
32,0.0,0.0,0.0,R,[305]
33,0.0,0.0,1.0,V,[128]
34,0.0,0.0,1.0,P,[255]
35,0.0,0.0,1.0,H,[14]
36,0.0,0.0,0.0,H,[181]
37,0.0,0.0,0.0,E,[253]
38,0.0,0.0,1.0,E,[304]
39,0.0,0.0,0.0,H,[70]
40,0.0,0.0,0.0,E,[125]
41,0.0,0.0,1.0,P,[255]
42,0.0,0.0,1.0,L,[182]
43,0.0,0.0,1.0,E,[304]
44,0.0,0.0,0.0,V,[73]
45,0.0,0.0,0.0,H,[126]
46,0.0,0.0,1.0,R,[72]
47,0.0,0.0,0.0,R,[305]
48,1.0,0.0,1.0,V,"[63, 38, 339, 244, 185, 3, 257, 129, 56, 307, 25, 59, 249, 17, 98, 218, 74, 284, 268, 7, 321, 270, 48, 205]"
49,1.0,0.0,1.0,V,"[63, 38, 339, 244, 185, 3, 257, 129, 56, 307, 25, 59, 249, 17, 98, 218, 74, 284, 268, 7, 321, 270, 48, 205]"
50,1.0,0.0,0.0,P,"[17, 266, 165, 248, 328, 129, 40, 5, 307, 210, 344, 310, 339, 148, 321, 74, 4, 219, 174, 53, 34, 327, 102, 185]"
51,1.0,0.0,0.0,P,"[17, 266, 165, 248, 328, 129, 40, 5, 307, 210, 344, 310, 339, 148, 321, 74, 4, 219, 174, 53, 34, 327, 102, 185]"
52,1.0,0.0,0.0,L,"[219, 274, 168, 344, 100, 286, 129, 264, 343, 262, 334, 107, 294, 6, 205, 74, 290, 103, 307, 21, 17, 257, 338, 134]"
53,1.0,0.0,0.0,L,"[219, 274, 168, 344, 100, 286, 129, 264, 343, 262, 334, 107, 294, 6, 205, 74, 290, 103, 307, 21, 17, 257, 338, 134]"
54,1.0,0.0,0.0,R,"[200, 153, 46, 196, 17, 106, 179, 93, 299, 186, 257, 307, 33, 37, 35, 7, 62, 279, 185, 160, 96, 329, 251, 129]"
55,1.0,0.0,0.0,R,"[200, 153, 46, 196, 17, 106, 179, 93, 299, 186, 257, 307, 33, 37, 35, 7, 62, 279, 185, 160, 96, 329, 251, 129]"
56,1.0,0.0,0.0,V,"[281, 313, 334, 165, 74, 282, 257, 307, 185, 97, 163, 287, 265, 157, 94, 243, 95, 200, 17, 58, 57, 5, 197, 117]"
57,1.0,0.0,0.0,V,"[281, 313, 334, 165, 74, 282, 257, 307, 185, 97, 163, 287, 265, 157, 94, 243, 95, 200, 17, 58, 57, 5, 197, 117]"
58,1.0,0.0,1.0,L,"[323, 74, 36, 129, 318, 188, 67, 220, 40, 314, 50, 342, 17, 257, 94, 79, 207, 185, 307, 22, 110, 173, 202, 55]"
59,1.0,0.0,1.0,L,"[323, 74, 36, 129, 318, 188, 67, 220, 40, 314, 50, 342, 17, 257, 94, 79, 207, 185, 307, 22, 110, 173, 202, 55]"
60,1.0,0.0,0.0,H,"[337, 4, 26, 134, 299, 257, 278, 273, 66, 216, 122, 297, 129, 185, 6, 74, 186, 109, 307, 107, 277, 61, 24, 174]"
61,1.0,0.0,0.0,H,"[337, 4, 26, 134, 299, 257, 278, 273, 66, 216, 122, 297, 129, 185, 6, 74, 186, 109, 307, 107, 277, 61, 24, 174]"
62,1.0,0.0,1.0,P,"[74, 17, 93, 271, 129, 193, 180, 288, 54, 257, 50, 143, 41, 185, 100, 119, 289, 134, 201, 116, 94, 241, 307, 273]"
63,1.0,0.0,1.0,P,"[74, 17, 93, 271, 129, 193, 180, 288, 54, 257, 50, 143, 41, 185, 100, 119, 289, 134, 201, 116, 94, 241, 307, 273]"
64,1.0,0.0,1.0,H,"[55, 86, 307, 89, 185, 130, 283, 74, 44, 257, 301, 193, 17, 272, 177, 166, 129, 308, 203, 138, 47, 263, 79, 326]"
65,1.0,0.0,1.0,H,"[55, 86, 307, 89, 185, 130, 283, 74, 44, 257, 301, 193, 17, 272, 177, 166, 129, 308, 203, 138, 47, 263, 79, 326]"
66,1.0,0.0,1.0,E,"[138, 185, 311, 109, 90, 307, 211, 204, 319, 79, 51, 301, 329, 275, 312, 129, 257, 338, 113, 215, 74, 146, 103, 17]"
67,1.0,0.0,1.0,E,"[138, 185, 311, 109, 90, 307, 211, 204, 319, 79, 51, 301, 329, 275, 312, 129, 257, 338, 113, 215, 74, 146, 103, 17]"
68,1.0,0.0,1.0,L,"[129, 257, 217, 261, 303, 146, 155, 267, 249, 328, 76, 74, 8, 300, 191, 271, 133, 335, 24, 101, 138, 17, 307, 185]"
69,1.0,0.0,1.0,L,"[129, 257, 217, 261, 303, 146, 155, 267, 249, 328, 76, 74, 8, 300, 191, 271, 133, 335, 24, 101, 138, 17, 307, 185]"
70,1.0,0.0,0.0,P,"[17, 129, 332, 290, 194, 343, 74, 25, 12, 185, 337, 285, 251, 97, 252, 307, 168, 268, 334, 192, 264, 322, 250, 21]"
71,1.0,0.0,0.0,P,"[17, 129, 332, 290, 194, 343, 74, 25, 12, 185, 337, 285, 251, 97, 252, 307, 168, 268, 334, 192, 264, 322, 250, 21]"
72,1.0,0.0,1.0,E,"[92, 342, 307, 135, 292, 187, 74, 244, 158, 3, 340, 167, 185, 81, 302, 85, 98, 220, 63, 314, 257, 152, 129, 17]"
73,1.0,0.0,1.0,E,"[92, 342, 307, 135, 292, 187, 74, 244, 158, 3, 340, 167, 185, 81, 302, 85, 98, 220, 63, 314, 257, 152, 129, 17]"
74,1.0,0.0,0.0,V,"[120, 17, 292, 124, 144, 185, 140, 91, 160, 108, 74, 325, 167, 202, 240, 285, 279, 259, 201, 341, 131, 248, 257, 307]"
75,1.0,0.0,0.0,V,"[120, 17, 292, 124, 144, 185, 140, 91, 160, 108, 74, 325, 167, 202, 240, 285, 279, 259, 201, 341, 131, 248, 257, 307]"
76,1.0,0.0,1.0,L,"[332, 297, 278, 74, 129, 260, 265, 284, 99, 20, 257, 307, 287, 17, 28, 185, 56, 317, 187, 203, 171, 75, 34, 248]"
77,1.0,0.0,1.0,L,"[332, 297, 278, 74, 129, 260, 265, 284, 99, 20, 257, 307, 287, 17, 28, 185, 56, 317, 187, 203, 171, 75, 34, 248]"
78,1.0,0.0,0.0,E,"[155, 129, 65, 66, 10, 178, 111, 267, 139, 74, 331, 175, 17, 31, 142, 185, 274, 145, 257, 99, 169, 137, 247, 95]"
79,1.0,0.0,0.0,E,"[155, 129, 65, 66, 10, 178, 111, 267, 139, 74, 331, 175, 17, 31, 142, 185, 274, 145, 257, 99, 169, 137, 247, 95]"
